name,loss,lr,batch_size,optimizer,scheduler,augmentation,best_iou,final_val_loss,final_val_iou,history
batch_2,bce_dice,0.0001,2,adamw,cosine,train,0.2806083467232325,0.8256394267588621,0.25609604722763957,"{'train_loss': [0.8721375338628714, 0.8040919805448502, 0.7882099519870244, 0.7579845517557114, 0.7368939083172008, 0.7083259646259248, 0.7138443569680676, 0.6935929006743244, 0.6629814271433279, 0.6519608522579073, 0.637109638567781, 0.6244654933968559, 0.610875258538872, 0.6212821598416194, 0.6033708821171895], 'train_iou': [0.09016399419633339, 0.09408203787687477, 0.11407428015452677, 0.12793172879876405, 0.13383106072135295, 0.1494459076843493, 0.1541350017442772, 0.17964623826044515, 0.17503591460544873, 0.19463145810460344, 0.2050849722947288, 0.20284501116132983, 0.22183039184857892, 0.21449050037076423, 0.22962740187971972], 'train_dice': [0.11197330006912333, 0.14063790841139223, 0.17492879745438344, 0.1965747615975405, 0.20149472246833056, 0.22351588263844394, 0.22877802693001545, 0.2609834745505444, 0.2543972761977583, 0.2804951704280838, 0.2943280735806155, 0.2891274757407761, 0.31412757426349225, 0.3063879932166562, 0.32653321893090514], 'train_image_accuracy': [0.507, 0.535, 0.556, 0.536, 0.574, 0.589, 0.595, 0.619, 0.597, 0.632, 0.617, 0.64, 0.655, 0.651, 0.671], 'val_loss': [0.9517156170122325, 0.9398077441798524, 0.9604989377118182, 0.9313752115122043, 0.8716665556066436, 0.8630197471636347, 0.8885037364548771, 0.8834071736069745, 0.8228923585917801, 0.8944201852357946, 0.8322170882957289, 0.8357925509856432, 0.80940611869446, 0.8177978971628181, 0.8256394267588621], 'val_iou': [0.09461477820531991, 0.10778724044899674, 0.16596927331977157, 0.15025617723398177, 0.2110263291356016, 0.23162685183884626, 0.1806972041351298, 0.22025768418392386, 0.2578617826946708, 0.17718458596540587, 0.25385228070546334, 0.25465011670950216, 0.2534313903204022, 0.2806083467232325, 0.25609604722763957], 'val_dice': [0.14233866819416702, 0.13790097782843036, 0.23635849720323854, 0.21965297597039754, 0.29151720108551604, 0.3149134735782357, 0.2599301703923891, 0.3145244352775974, 0.3524063409715006, 0.26702422937767545, 0.3520170859299779, 0.35665355461763576, 0.3568322460227503, 0.37542771346539083, 0.35173667406956277], 'val_image_accuracy': [0.575, 0.545, 0.595, 0.61, 0.705, 0.74, 0.665, 0.675, 0.715, 0.605, 0.71, 0.685, 0.7, 0.735, 0.715], 'lr': [0.0001, 9.890738003669029e-05, 9.567727288213005e-05, 9.045084971874738e-05, 8.345653031794292e-05, 7.500000000000001e-05, 6.545084971874738e-05, 5.522642316338269e-05, 4.4773576836617344e-05, 3.454915028125264e-05, 2.5000000000000018e-05, 1.654346968205711e-05, 9.549150281252635e-06, 4.322727117869952e-06, 1.092619963309716e-06]}"
batch_8,bce_dice,0.0001,8,adamw,cosine,train,0.2542364934831858,0.8579670834541321,0.24940435707569122,"{'train_loss': [1.0727997603416444, 0.9809916062355042, 0.942778350353241, 0.9126475832164288, 0.8637804434299469, 0.8351930468082428, 0.8116758048534394, 0.7742588212490081, 0.7549693575501442, 0.746980994462967, 0.7424591578245163, 0.6789564156532287, 0.6952069842815399, 0.6818804724216461, 0.6622212243080139], 'train_iou': [0.05275198200508351, 0.09778296159562265, 0.1267468728736453, 0.13184741446527481, 0.18081420398761078, 0.19483797210002254, 0.21455408430669884, 0.2415783636053521, 0.2382119788492624, 0.2558842242062092, 0.261471594199757, 0.3012677533255669, 0.29084554610413177, 0.30175826670231354, 0.3229342226240142], 'train_dice': [0.09121316575630373, 0.1630862646368561, 0.2105217966508967, 0.2133101464068779, 0.28893380182377554, 0.30877626854846185, 0.3314517152385083, 0.366630800954109, 0.36145313816914, 0.38402368749678134, 0.38862765528283544, 0.44335092411951743, 0.4244592557625161, 0.4398168388307287, 0.46243795082003913], 'train_image_accuracy': [0.473, 0.482, 0.515, 0.541, 0.611, 0.603, 0.636, 0.637, 0.635, 0.649, 0.638, 0.681, 0.704, 0.699, 0.69], 'val_loss': [1.0579332566261292, 1.0153595805168152, 0.9980687999725342, 0.9651675653457642, 1.0128599429130554, 0.9624607360363007, 0.9318743515014648, 0.8833090782165527, 0.8613420248031616, 0.8900650525093079, 0.8794254660606384, 0.8692294347286225, 0.8595980954170227, 0.8521631360054016, 0.8579670834541321], 'val_iou': [0.06877917766609355, 0.1102546506377741, 0.15391557177997997, 0.17070649176836014, 0.15885600179441262, 0.17726987045258283, 0.18362893000245095, 0.22130888506770133, 0.2340288682281971, 0.22781943276524544, 0.2262001045048237, 0.24600695602595807, 0.24857096135616302, 0.2542364934831858, 0.24940435707569122], 'val_dice': [0.11870008565523787, 0.18933808170285665, 0.25257122440267227, 0.27899486795067785, 0.26265931367881584, 0.28526426732540133, 0.297316298186779, 0.3472178690135479, 0.3619022618234158, 0.3522520208358765, 0.35635323971509936, 0.38033052772283554, 0.38505491241812706, 0.3912945449352264, 0.3862877468764782], 'val_image_accuracy': [0.495, 0.53, 0.565, 0.63, 0.675, 0.665, 0.705, 0.735, 0.715, 0.705, 0.735, 0.705, 0.71, 0.72, 0.71], 'lr': [0.0001, 9.890738003669029e-05, 9.567727288213005e-05, 9.045084971874738e-05, 8.345653031794292e-05, 7.500000000000001e-05, 6.545084971874738e-05, 5.522642316338269e-05, 4.4773576836617344e-05, 3.454915028125264e-05, 2.5000000000000018e-05, 1.654346968205711e-05, 9.549150281252635e-06, 4.322727117869952e-06, 1.092619963309716e-06]}"
opt_adam,bce_dice,0.0001,4,adam,cosine,train,0.24137922135260212,0.8806529939174652,0.24127726403080946,"{'train_loss': [1.0253710317090154, 0.9491453396230936, 0.9115752069354057, 0.914779684215784, 0.8537942185401917, 0.8386462766379118, 0.8183204319253564, 0.824974632717669, 0.8095989679917693, 0.7541395678967238, 0.7479711699150503, 0.7262776702009142, 0.7029232451263815, 0.7077799985595048, 0.691968666093424], 'train_iou': [0.05102187271317474, 0.09335776436906709, 0.12746698327302974, 0.1362131885118504, 0.14527214373754024, 0.16743103997646858, 0.178224234364246, 0.17874984749515466, 0.19450452436069948, 0.21629277890526802, 0.23149744840254266, 0.2557107634942006, 0.24650184198529257, 0.24972363603844996, 0.26683689130363447], 'train_dice': [0.08341604893462741, 0.1529614545836678, 0.20048119951591167, 0.21502815009566956, 0.23166451909533858, 0.2591065220757623, 0.27119324909967274, 0.27287806157876654, 0.2980420560932229, 0.3227911635304532, 0.3436974165626727, 0.37402400780068296, 0.3588274413558169, 0.36535106898084063, 0.38669378995584597], 'train_image_accuracy': [0.484, 0.519, 0.549, 0.548, 0.575, 0.583, 0.616, 0.62, 0.614, 0.645, 0.658, 0.696, 0.677, 0.677, 0.692], 'val_loss': [1.091743791103363, 1.0119027554988862, 1.0099330389499663, 1.0630546689033509, 1.0121665465831757, 0.938050099015236, 0.921400830745697, 0.9568063670396805, 0.9144394218921661, 0.8929907768964768, 0.8830560356378555, 0.901666973233223, 0.8801054549217224, 0.8793734765052795, 0.8806529939174652], 'val_iou': [0.07641767773827376, 0.09955047380732296, 0.14280479297359464, 0.10099328190377274, 0.15831080481018728, 0.18863986674745198, 0.20973779044726104, 0.18597080954309506, 0.21174508786539017, 0.23157959948079257, 0.23180823186021407, 0.22518121995758505, 0.24137922135260212, 0.23564714098571174, 0.24127726403080946], 'val_dice': [0.12394646663734528, 0.1682478903056487, 0.23238271297462393, 0.16706148671275298, 0.24938095589242731, 0.29169136083035363, 0.321573748347882, 0.29189354192657346, 0.32784668096352776, 0.35213443483651674, 0.3489434661537419, 0.3410631761749299, 0.3652082489333979, 0.35448140144570106, 0.36214903587491337], 'val_image_accuracy': [0.5, 0.585, 0.605, 0.6, 0.645, 0.655, 0.76, 0.715, 0.735, 0.725, 0.745, 0.77, 0.74, 0.75, 0.73], 'lr': [0.0001, 9.890738003669029e-05, 9.567727288213005e-05, 9.045084971874738e-05, 8.345653031794292e-05, 7.500000000000001e-05, 6.545084971874738e-05, 5.522642316338269e-05, 4.4773576836617344e-05, 3.454915028125264e-05, 2.5000000000000018e-05, 1.654346968205711e-05, 9.549150281252635e-06, 4.322727117869952e-06, 1.092619963309716e-06]}"
baseline,bce_dice,0.0001,4,adamw,cosine,train,0.2345178573586785,0.908503765463829,0.2239346805509332,"{'train_loss': [1.0444128743633627, 0.9223278512954712, 0.9112705545127392, 0.8961310383379459, 0.8826536883860826, 0.8412279704175889, 0.7710879517234862, 0.8061719079036266, 0.7770259188078343, 0.7668279388919472, 0.7797889644429088, 0.7230274641569704, 0.7051654592980631, 0.6989887237725779, 0.7191815813565626], 'train_iou': [0.0434064930574592, 0.09819714499131461, 0.11094854095383351, 0.1346377176940992, 0.14003608984602517, 0.15754327057842224, 0.19306798445912005, 0.19599513749461328, 0.196988612874289, 0.21838836732524808, 0.22265445227217656, 0.24854433193842473, 0.26330994179396044, 0.2656903544235187, 0.246643884031484], 'train_dice': [0.07033310250827945, 0.15845769544461308, 0.1788390668478693, 0.21391100699099164, 0.22119259982867998, 0.24559086586935508, 0.2929357486222421, 0.29701891187214935, 0.2983966319994014, 0.3265994829865581, 0.3302153997173978, 0.3620408814915752, 0.3813751012149089, 0.3831011161640431, 0.36017527439989844], 'train_image_accuracy': [0.485, 0.541, 0.537, 0.576, 0.557, 0.608, 0.598, 0.62, 0.611, 0.635, 0.656, 0.663, 0.695, 0.697, 0.701], 'val_loss': [1.0543043732643127, 1.1003041183948516, 1.0141536450386048, 1.0434289729595185, 1.0357211458683013, 0.9506577199697495, 1.005997918844223, 0.9587900346517563, 0.921171024441719, 0.9226091367006302, 0.9527952808141709, 0.904720014333725, 0.8944429272413253, 0.9035918021202087, 0.908503765463829], 'val_iou': [0.09815209082505826, 0.12623136467381552, 0.13989090733803092, 0.1327735815765417, 0.12590026319306782, 0.17874002007644185, 0.1784287752309551, 0.19182761340412843, 0.20239174422814193, 0.2174293037324229, 0.18659034200071228, 0.23184414513488794, 0.2345178573586785, 0.2249574825922055, 0.2239346805509332], 'val_dice': [0.1635119152948369, 0.20744436108588413, 0.22329626947283024, 0.217337084283129, 0.205435536490292, 0.2779642734708646, 0.2810331450780591, 0.3010993812886213, 0.31530793804681545, 0.3305020464218238, 0.29334516973293256, 0.348445204571686, 0.35019016863860114, 0.33956298425887055, 0.33883836529179023], 'val_image_accuracy': [0.505, 0.52, 0.555, 0.585, 0.645, 0.64, 0.635, 0.735, 0.735, 0.77, 0.75, 0.74, 0.765, 0.755, 0.76], 'lr': [0.0001, 9.890738003669029e-05, 9.567727288213005e-05, 9.045084971874738e-05, 8.345653031794292e-05, 7.500000000000001e-05, 6.545084971874738e-05, 5.522642316338269e-05, 4.4773576836617344e-05, 3.454915028125264e-05, 2.5000000000000018e-05, 1.654346968205711e-05, 9.549150281252635e-06, 4.322727117869952e-06, 1.092619963309716e-06]}"
aug_none,bce_dice,0.0001,4,adamw,cosine,val,0.22533509079285657,1.0189664763212205,0.21555990933400937,"{'train_loss': [1.0263675121366977, 0.887215997070074, 0.7926756422631442, 0.7545686455424875, 0.716724048011005, 0.6454575939867645, 0.6109865509662777, 0.5460433875340969, 0.4881478922702372, 0.4902588148936629, 0.44813944231672215, 0.3987071278290823, 0.3783442690008087, 0.3495853251510998, 0.35927580166683765], 'train_iou': [0.06954601149350526, 0.14358446662170493, 0.19456156199755734, 0.24873156482336656, 0.28501139941589654, 0.3278795842596408, 0.35104859618218687, 0.3829239989065764, 0.4353497424987691, 0.4460854481184314, 0.4815384067024334, 0.5239385849054677, 0.5317797269950868, 0.5615696715904543, 0.5581774377275123], 'train_dice': [0.1155073000156193, 0.22459715229338648, 0.2934453138208913, 0.36396496661549066, 0.41408582608983135, 0.45577359449938704, 0.4838419492536231, 0.5163398140774307, 0.5682358079562512, 0.5769479902075062, 0.6109780997296093, 0.6498748421188218, 0.6526601248718112, 0.6806602329878279, 0.6785169613707674], 'train_image_accuracy': [0.505, 0.582, 0.649, 0.677, 0.706, 0.746, 0.761, 0.789, 0.793, 0.818, 0.823, 0.86, 0.853, 0.865, 0.864], 'val_loss': [1.0681901717185973, 0.9974446964263916, 1.0057778191566467, 0.9812108504772187, 0.9737099450826645, 0.9370812427997589, 1.0239834040403366, 1.0497946399450302, 1.0031048691272735, 1.0067459809780122, 1.0815272104740143, 1.0171841937303543, 1.0424970561265945, 1.0555404698848725, 1.0189664763212205], 'val_iou': [0.12798833891817818, 0.15884254577701307, 0.16178276621795537, 0.17892205749207882, 0.19286933839830234, 0.22533509079285657, 0.19682307056163023, 0.16481486442344584, 0.2177028557316545, 0.19698326060199936, 0.17588068096462314, 0.20951435430102247, 0.19760043965756535, 0.19660984616847077, 0.21555990933400937], 'val_dice': [0.21258495263823757, 0.2581196390629406, 0.2596180398395592, 0.28087245584035064, 0.3003628719835229, 0.3410305696036689, 0.3043960609474457, 0.2564406177525813, 0.328418141152538, 0.30093621074804866, 0.27131052397686667, 0.31547408834226626, 0.30080163680120947, 0.29845178932071964, 0.3239902346798441], 'val_image_accuracy': [0.54, 0.61, 0.63, 0.68, 0.675, 0.77, 0.715, 0.7, 0.73, 0.68, 0.74, 0.75, 0.76, 0.765, 0.77], 'lr': [0.0001, 9.890738003669029e-05, 9.567727288213005e-05, 9.045084971874738e-05, 8.345653031794292e-05, 7.500000000000001e-05, 6.545084971874738e-05, 5.522642316338269e-05, 4.4773576836617344e-05, 3.454915028125264e-05, 2.5000000000000018e-05, 1.654346968205711e-05, 9.549150281252635e-06, 4.322727117869952e-06, 1.092619963309716e-06]}"
lr_5e5,bce_dice,5e-05,4,adamw,cosine,train,0.22413643241045197,0.9075569105148316,0.22413643241045197,"{'train_loss': [1.0361557710394262, 0.9499652345776558, 0.8989133128412068, 0.8763335793577135, 0.8549706243649126, 0.831625663138926, 0.8318553852662444, 0.7827641172334552, 0.7945997611172497, 0.7726113926414401, 0.7415034105945378, 0.7350520606343635, 0.712743408780545, 0.7302036408111453, 0.7194138180334121], 'train_iou': [0.04524430822886099, 0.1022809627797614, 0.11548681119117316, 0.15178113311045355, 0.176292802887123, 0.17382667229686397, 0.17880083579694198, 0.20130908803366718, 0.2091748661531116, 0.2179911439542595, 0.2261551618753258, 0.23505719152572585, 0.26599780713403753, 0.25278648664857817, 0.25580550549977593], 'train_dice': [0.07361949058888603, 0.16137126948666256, 0.18342902813221207, 0.23490942543043686, 0.26984469701439795, 0.2687419098528428, 0.2749643245758098, 0.30556785782806356, 0.3177929538611303, 0.3225754012209766, 0.3361861065044326, 0.3457840952823406, 0.38703038675952867, 0.36926193243498184, 0.36860832545819816], 'train_image_accuracy': [0.476, 0.512, 0.538, 0.574, 0.584, 0.594, 0.616, 0.626, 0.647, 0.653, 0.653, 0.64, 0.677, 0.679, 0.67], 'val_loss': [1.0470494711399079, 1.0418488931655885, 0.9563838362693786, 0.9905571258068084, 0.9916353392601013, 1.031833934187889, 0.9473314297199249, 0.9692488920688629, 0.9468282759189606, 0.9272434282302856, 0.9325195741653443, 0.9132715022563934, 0.9108135926723481, 0.909899633526802, 0.9075569105148316], 'val_iou': [0.09251581229377194, 0.09347849899834115, 0.1573471144004559, 0.1450632315142625, 0.1673794399430198, 0.1352911135633673, 0.19045867160508514, 0.18666169440466457, 0.19613834775148647, 0.21159534598784135, 0.19841147788009805, 0.21723929422080676, 0.2216107616400502, 0.220149117467256, 0.22413643241045197], 'val_dice': [0.15142699112990526, 0.15050663948572332, 0.2478134549804797, 0.23369810137102245, 0.26579731272604923, 0.21586047747573103, 0.2992248010736528, 0.2927199194217055, 0.30543374926733313, 0.3262833026618658, 0.3069605528111683, 0.3348915717761234, 0.340521417447754, 0.3398819336307065, 0.3454332840826841], 'val_image_accuracy': [0.525, 0.515, 0.61, 0.65, 0.605, 0.67, 0.67, 0.705, 0.705, 0.7, 0.7, 0.725, 0.75, 0.74, 0.745], 'lr': [5e-05, 4.9453690018345144e-05, 4.783863644106502e-05, 4.522542485937369e-05, 4.172826515897146e-05, 3.7500000000000003e-05, 3.272542485937369e-05, 2.7613211581691344e-05, 2.2386788418308672e-05, 1.727457514062632e-05, 1.2500000000000009e-05, 8.271734841028555e-06, 4.774575140626317e-06, 2.161363558934976e-06, 5.46309981654858e-07]}"
sched_plateau,bce_dice,0.0001,4,adamw,plateau,train,0.20936079324711443,0.9398023521900177,0.20936079324711443,"{'train_loss': [1.01369770167768, 0.9325670647323132, 0.9000221770778298, 0.8749790865108371, 0.8656017741635442, 0.8473590043783188, 0.8159833811484277, 0.8269549580467865, 0.8085602578446269, 0.7944536214619875, 0.7836801290810108, 0.794893870357424, 0.8155639887731523, 0.8184345563258976, 0.7937099202498794], 'train_iou': [0.050696720217203464, 0.10464805853094832, 0.13347754210076176, 0.14467278032031894, 0.1474953899030475, 0.16330187275783303, 0.18144126509424383, 0.18109881917859888, 0.19411809807291275, 0.2002612185880654, 0.20551250832781898, 0.19112532497512774, 0.20103427178611966, 0.1943054453703344, 0.2120316925472357], 'train_dice': [0.08071765545455294, 0.16704340565901765, 0.2123494334385579, 0.22764528750694585, 0.23309869808921535, 0.2547259025242403, 0.2762199291906188, 0.2771778393905376, 0.292097085335497, 0.30425030295957656, 0.3045278263257142, 0.2892303496220954, 0.3041130078564885, 0.29673416346132314, 0.31716042397238875], 'train_image_accuracy': [0.47, 0.518, 0.569, 0.575, 0.581, 0.607, 0.618, 0.63, 0.595, 0.617, 0.658, 0.647, 0.661, 0.622, 0.634], 'val_loss': [1.099327129125595, 1.0019790029525757, 0.9962648379802704, 0.9867140239477158, 0.9887821048498153, 0.963906648159027, 0.9685414922237396, 0.9703245651721955, 0.9631043136119842, 0.9580807548761368, 0.9423665738105774, 0.960760446190834, 0.9679708832502365, 0.9554093557596207, 0.9398023521900177], 'val_iou': [0.1082418664803693, 0.12061210335399584, 0.14792339412516273, 0.18236335555125485, 0.1629337475778688, 0.18755343947570793, 0.20028727878865488, 0.18391168402964653, 0.17514300889814188, 0.2085156838190094, 0.19465038735457063, 0.17917630117454686, 0.18376616677286614, 0.18464752579233235, 0.20936079324711443], 'val_dice': [0.17893058165236952, 0.19748751270635614, 0.2406196355076722, 0.2879160566258849, 0.25591291232073343, 0.29481869973253483, 0.30695680113558355, 0.2873429418098221, 0.27452488701803524, 0.3150001170472613, 0.2992725005004585, 0.2784186040989415, 0.2885650066288053, 0.28608414162075707, 0.31732207969086573], 'val_image_accuracy': [0.515, 0.59, 0.615, 0.645, 0.61, 0.67, 0.665, 0.705, 0.705, 0.705, 0.725, 0.67, 0.73, 0.625, 0.645], 'lr': [0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001]}"
loss_dice,dice,0.0001,4,adamw,cosine,train,0.2047016024450716,0.6826107704639435,0.2047016024450716,"{'train_loss': [0.8167880470752716, 0.8192245283126831, 0.7947802000045776, 0.7376113419532776, 0.7888545527458191, 0.7330666055679321, 0.7277183735370636, 0.736475358247757, 0.6909285428524017, 0.6981758477687836, 0.6920235772132873, 0.6679906225204468, 0.6752132594585418, 0.6651058239936829, 0.6560363256931305], 'train_iou': [0.07753191115207844, 0.09511942451995724, 0.10682532932583896, 0.11917119716036795, 0.11579784993190967, 0.13193093596886407, 0.14188091901116787, 0.15410999416605942, 0.16388757144536742, 0.1677812682841452, 0.18259931385109296, 0.1731414242209507, 0.1980793663234598, 0.21108794945318976, 0.21059662665462142], 'train_dice': [0.1320267817221447, 0.15328786010996426, 0.17361290617066732, 0.19108369967759317, 0.18378107229916632, 0.20764011074787497, 0.22506578054451162, 0.24029238119882376, 0.2539313175504134, 0.25862342050067516, 0.2770892660583159, 0.26074391754969145, 0.29780768931882073, 0.31207552231421015, 0.3090141346872599], 'train_image_accuracy': [0.509, 0.501, 0.504, 0.514, 0.509, 0.535, 0.532, 0.573, 0.547, 0.561, 0.575, 0.578, 0.588, 0.601, 0.583], 'val_loss': [0.8322982013225555, 0.8035606217384338, 0.8136366140842438, 0.8106936359405518, 0.7796583008766175, 0.7610494327545166, 0.7495633840560914, 0.7384500896930695, 0.7287761211395264, 0.7211200511455536, 0.7289456045627594, 0.7140330398082733, 0.6920863604545593, 0.6944833123683929, 0.6826107704639435], 'val_iou': [0.10250030789811192, 0.1192570700407009, 0.11325105830136736, 0.11529908892269153, 0.13302315859136998, 0.14771843936248852, 0.15562865364840112, 0.16280143965741942, 0.17152969677537963, 0.17742135856430294, 0.1695871077478666, 0.18179115974818097, 0.19782517951006504, 0.19652454575765377, 0.2047016024450716], 'val_dice': [0.1686288315458971, 0.1972369928289186, 0.18721064767841297, 0.19025124432555304, 0.22115348484380068, 0.23942158870644573, 0.25074734279895056, 0.2623559412035006, 0.2718509218400699, 0.2797990227049614, 0.2713595760241885, 0.2860757861659743, 0.3089402186873039, 0.30627748643988245, 0.3186636052467805], 'val_image_accuracy': [0.505, 0.56, 0.55, 0.53, 0.575, 0.57, 0.61, 0.635, 0.635, 0.625, 0.66, 0.655, 0.635, 0.645, 0.63], 'lr': [0.0001, 9.890738003669029e-05, 9.567727288213005e-05, 9.045084971874738e-05, 8.345653031794292e-05, 7.500000000000001e-05, 6.545084971874738e-05, 5.522642316338269e-05, 4.4773576836617344e-05, 3.454915028125264e-05, 2.5000000000000018e-05, 1.654346968205711e-05, 9.549150281252635e-06, 4.322727117869952e-06, 1.092619963309716e-06]}"
sched_step,bce_dice,0.0001,4,adamw,step,train,0.20421327538335185,0.9113529992103576,0.20097126918858443,"{'train_loss': [1.0231285358443856, 0.9424673931226134, 0.9057942244708538, 0.8826155792325735, 0.883270909152925, 0.8287041258737445, 0.7989043124616146, 0.7874987195190042, 0.7598330329805613, 0.7529295524060726, 0.7697604557536543, 0.7591730876117945, 0.7510943501535803, 0.7535420675091445, 0.7741521850479767], 'train_iou': [0.059636828049832044, 0.10053269642143735, 0.12252039262907947, 0.1282542399541302, 0.15867509197958113, 0.1739525418330768, 0.1840532044170577, 0.19775680756136743, 0.2085841302301628, 0.23277211566595596, 0.22221773875574308, 0.2202109407364837, 0.22330879920283833, 0.21519866442598443, 0.212642725461175], 'train_dice': [0.08975488143280586, 0.16151950986678004, 0.1949103443169677, 0.20598160547582253, 0.25042894549367317, 0.2666804586909157, 0.28428944317862986, 0.3012413602798336, 0.3121767524262319, 0.3433382643908867, 0.3309583039369873, 0.32811304943463565, 0.3351226997047713, 0.32487037367850596, 0.31998103256059185], 'train_image_accuracy': [0.484, 0.521, 0.54, 0.551, 0.598, 0.605, 0.624, 0.66, 0.668, 0.627, 0.662, 0.65, 0.651, 0.693, 0.657], 'val_loss': [1.1004557192325592, 1.0599554681777954, 1.013164790868759, 0.9921028542518616, 0.9332440489530563, 0.9229949021339416, 0.9055509316921234, 0.9174646270275116, 0.9215430581569671, 0.9425795137882232, 0.9315854173898697, 0.9254631119966507, 0.9156629502773285, 0.9176315802335739, 0.9113529992103576], 'val_iou': [0.09840568402163495, 0.13042034164347222, 0.14476990874360895, 0.1690753887044845, 0.19278074197962156, 0.1895853058391866, 0.20252698310833675, 0.19220718692549318, 0.1920238461441947, 0.1874150134159632, 0.1960013461535211, 0.19145189213134833, 0.2040223683233867, 0.20421327538335185, 0.20097126918858443], 'val_dice': [0.16090576374284735, 0.2144163577775145, 0.23378364187664236, 0.26632425088534334, 0.2988778518375682, 0.29490529421751016, 0.31486788194634735, 0.2979126826932542, 0.2977250193155957, 0.2910884263811081, 0.30196972169013425, 0.29608084839802723, 0.3121013301800499, 0.31364636798401785, 0.3081717378274963], 'val_image_accuracy': [0.485, 0.585, 0.645, 0.62, 0.71, 0.71, 0.765, 0.755, 0.76, 0.755, 0.715, 0.765, 0.7, 0.76, 0.755], 'lr': [0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 1e-05, 1e-05, 1e-05, 1e-05, 1e-05, 1.0000000000000002e-06, 1.0000000000000002e-06, 1.0000000000000002e-06, 1.0000000000000002e-06, 1.0000000000000002e-06]}"
loss_tversky,tversky,0.0001,4,adamw,cosine,train,0.20410332428315123,0.6806015682220459,0.1949009627320282,"{'train_loss': [0.8328682124614716, 0.804582004070282, 0.7999373531341553, 0.8040594186782837, 0.7450280301570892, 0.7608821938037872, 0.7174284086227417, 0.7434207644462586, 0.712065435886383, 0.6648876721858978, 0.6622759540081025, 0.6631646077632904, 0.6242494766712189, 0.6208727123737335, 0.6199764080047607], 'train_iou': [0.077379330263653, 0.09869082922308324, 0.10238241775839382, 0.10772348430420314, 0.1217192277685043, 0.11811304034210614, 0.1359814720212942, 0.14268335986375932, 0.1529236721779266, 0.17277409032323568, 0.16674812820583246, 0.178264874874438, 0.19902831445829627, 0.19262206216995406, 0.18624173927114918], 'train_dice': [0.1312821774735692, 0.16207615002809636, 0.16382042465713134, 0.17466854397969353, 0.1935670915930768, 0.18920169190369188, 0.21486749399695493, 0.22477782623906278, 0.23713788867705038, 0.2616798639404173, 0.2583239558850218, 0.27373313309459474, 0.2975042938670113, 0.28857178569772074, 0.2837666715462097], 'train_image_accuracy': [0.521, 0.52, 0.478, 0.492, 0.532, 0.527, 0.555, 0.563, 0.586, 0.59, 0.622, 0.622, 0.626, 0.646, 0.632], 'val_loss': [0.8675590479373931, 0.8091541075706482, 0.8289625120162963, 0.8013996708393097, 0.8383554518222809, 0.7433985257148743, 0.7577525234222412, 0.7165510892868042, 0.7239379966259003, 0.7311060428619385, 0.6848437714576722, 0.6772739100456238, 0.6702979528903961, 0.6705937814712525, 0.6806015682220459], 'val_iou': [0.09205520403195687, 0.12399740368541216, 0.11319384365715307, 0.12129745541245794, 0.10114452235493263, 0.16150893555774806, 0.1506638033107259, 0.16634024439411732, 0.16821234520558603, 0.16172294460289835, 0.19416068702023395, 0.19642955684861105, 0.20197916880330236, 0.20410332428315123, 0.1949009627320282], 'val_dice': [0.15761482165284968, 0.20379202920076323, 0.18161763551552074, 0.19972667196870902, 0.16220922616053757, 0.2539101254095555, 0.23917735904875304, 0.2615878347031263, 0.2643301451675255, 0.25414129417442444, 0.30115763390455313, 0.3006695553683809, 0.3082683675371686, 0.3139272639157756, 0.2990777069337145], 'val_image_accuracy': [0.53, 0.51, 0.505, 0.53, 0.515, 0.625, 0.605, 0.635, 0.69, 0.665, 0.665, 0.665, 0.665, 0.68, 0.665], 'lr': [0.0001, 9.890738003669029e-05, 9.567727288213005e-05, 9.045084971874738e-05, 8.345653031794292e-05, 7.500000000000001e-05, 6.545084971874738e-05, 5.522642316338269e-05, 4.4773576836617344e-05, 3.454915028125264e-05, 2.5000000000000018e-05, 1.654346968205711e-05, 9.549150281252635e-06, 4.322727117869952e-06, 1.092619963309716e-06]}"
